REF_DATE,total,percent_change
2019-04,514.93,NULL
2019-05,536.12,0.04
2019-06,540.32,0.01
2019-07,529.07,-0.02
2019-08,522.82,-0.01
2019-09,510.28,-0.02
2019-10,499.13,-0.02
2019-11,521.88,0.05
2019-12,517.01,-0.01
2020-01,528.22,0.02
2020-02,528.46,0
2020-03,542.75,0.03
2020-04,545.67,0.01
2020-05,556.83,0.02
2020-06,576.65,0.04
2020-07,555.31,-0.04
2020-08,540.47,-0.03
2020-09,524.33,-0.03
2020-10,518.79,-0.01
2020-11,537.14,0.04
2020-12,531.87,-0.01
2021-01,547.15,0.03
2021-02,542.6,-0.01
2021-03,536.84,-0.01
2021-04,554.69,0.03
2021-05,560.25,0.01
2021-06,569.57,0.02
2021-07,573.7,0.01
2021-08,578.2,0.01
2021-09,564.21,-0.02
2021-10,564.3,0
2021-11,582.01,0.03
2021-12,583.95,0
2022-01,593.23,0.02
2022-02,597.54,0.01
2022-03,609.82,0.02
2022-04,620.37,0.02
2022-05,636.56,0.03
2022-06,625.03,-0.02
2022-07,630.77,0.01
2022-08,634.51,0.01
2022-09,630.79,-0.01
2022-10,612.47,-0.03
2022-11,635.2,0.04
2022-12,636.18,0
2023-01,654.98,0.03
2023-02,652.12,-0
2023-03,660.47,0.01
2023-04,662.74,0
2023-05,679.06,0.02
2023-06,678.61,-0
2023-07,673.46,-0.01
2023-08,677.52,0.01
2023-09,662.57,-0.02
2023-10,653.35,-0.01
2023-11,665.06,0.02
2023-12,663.07,-0
2024-01,664.51,0
2024-02,644.68,-0.03
2024-03,648.58,0.01
2024-04,660.22,0.02
